	Active Life	1	3	0
	Soccer	1	3	0
110 Las Vegas	Auto Repair	1	68	1
110 Las Vegas	Automotive	1	68	1
110 Las Vegas	Oil Change Stations	1	68	1
110 Las Vegas	Smog Check Stations	1	68	1
AGINCOURT	Burgers	1	7	0
AGINCOURT	Fast Food	1	7	0
AGINCOURT	Restaurants	1	7	0
AVON	Auto Parts & Supplies	1	15	1
AVON	Automotive	1	15	1
AVON	Tires	1	15	1
AVON	Wheel & Rim Repair	1	15	1
Agincourt	Burgers	1	5	0
Agincourt	Fast Food	1	5	0
Agincourt	Restaurants	1	5	0
Ahwahtukee	Carpet Cleaning	1	17	1
Ahwahtukee	Home Cleaning	1	17	1
Ahwahtukee	Home Services	1	17	1
Ahwahtukee	Local Services	1	17	1
Ahwahtukee	Office Cleaning	1	17	1
Ahwahtukee	Professional Services	1	17	1
Ahwatukee	Active Life	1	17	1
Ahwatukee	Automotive	1	6	1
Ahwatukee	Barbers	1	29	1
Ahwatukee	Bars	1	212	1
Ahwatukee	Beauty & Spas	2	34	2
Ahwatukee	Beer	1	212	1
Ahwatukee	Breakfast & Brunch	1	212	1
Ahwatukee	Burgers	1	7	0
Ahwatukee	Car Rental	1	29	0
Ahwatukee	Carpet Cleaning	2	10	2
Ahwatukee	Coffee & Tea	1	300	1
Ahwatukee	Cosmetic Dentists	1	33	1
Ahwatukee	Creperies	1	300	1
Ahwatukee	Dentists	2	36	2
Ahwatukee	Desserts	1	300	1
Ahwatukee	Doctors	1	9	1
Ahwatukee	Dog Walkers	1	11	1
Ahwatukee	Dry Cleaning & Laundry	1	37	1
Ahwatukee	Education	1	17	1
Ahwatukee	Eyelash Service	1	5	1
Ahwatukee	Fast Food	1	7	0
Ahwatukee	Fitness & Instruction	1	17	1
Ahwatukee	Food	5	622	3
Ahwatukee	Gastropubs	1	212	1
Ahwatukee	General Dentistry	2	36	2
Ahwatukee	Grocery	1	4	0
Ahwatukee	Hair Salons	2	34	2
Ahwatukee	Handyman	1	37	1
Ahwatukee	Health & Medical	3	45	3
Ahwatukee	Health Markets	1	4	0
Ahwatukee	Home Services	3	49	3
Ahwatukee	Hotels & Travel	1	29	0
Ahwatukee	Irrigation	2	43	2
Ahwatukee	Italian	2	293	2
Ahwatukee	Landscaping	2	43	2
Ahwatukee	Local Services	4	53	4
Ahwatukee	Men's Hair Salons	1	29	1
Ahwatukee	Movers	1	6	1
Ahwatukee	Nightlife	1	212	1
Ahwatukee	Oral Surgeons	2	36	2
Ahwatukee	Orthodontists	1	33	1
Ahwatukee	Packing Supplies	1	6	1
Ahwatukee	Pet Services	1	11	1
Ahwatukee	Pet Sitting	1	11	1
Ahwatukee	Pets	1	11	1
Ahwatukee	Pizza	2	293	2
Ahwatukee	Restaurants	5	812	4
Ahwatukee	Sandwiches	2	293	2
Ahwatukee	Self Storage	1	6	1
Ahwatukee	Sewing & Alterations	1	37	1
Ahwatukee	Shopping	1	6	1
Ahwatukee	Skin Care	1	5	1
Ahwatukee	Specialty Food	1	4	0
Ahwatukee	Specialty Schools	1	17	1
Ahwatukee	Sports Medicine	1	9	1
Ahwatukee	Swimming Lessons/Schools	1	17	1
Ahwatukee	Tapas/Small Plates	1	212	1
Ahwatukee	Tree Services	1	37	1
Ahwatukee	Truck Rental	1	6	1
Ahwatukee	Wine & Spirits	1	212	1
Ahwatukee	Wine Bars	1	212	1
Ahwatukee Foothills Village	Active Life	1	11	1
Ahwatukee Foothills Village	Hiking	1	11	1
Airdrie	Active Life	6	18	3
Airdrie	Acupuncture	2	6	0
Airdrie	Amateur Sports Teams	1	3	0
Airdrie	American (New)	1	17	1
Airdrie	American (Traditional)	8	116	5
Airdrie	Antiques	1	3	1
Airdrie	Appliances & Repair	1	3	1
Airdrie	Arts & Entertainment	1	3	1
Airdrie	Asian Fusion	4	27	3
Airdrie	Auto Detailing	2	6	1
Airdrie	Auto Glass Services	2	6	0
Airdrie	Auto Parts & Supplies	2	6	1
Airdrie	Auto Repair	13	49	11
Airdrie	Automotive	22	76	16
Airdrie	Barbeque	1	18	1
Airdrie	Barbers	4	13	2
Airdrie	Bars	14	202	11
Airdrie	Beauty & Spas	19	75	12
Airdrie	Beer	4	58	4
Airdrie	Blow Dry/Out Services	1	3	1
Airdrie	Boating	1	3	1
Airdrie	Books	1	3	1
Airdrie	Breakfast & Brunch	9	149	7
Airdrie	Bridal	1	3	1
Airdrie	Bubble Tea	1	3	0
Airdrie	Buffets	2	13	2
Airdrie	Building Supplies	1	3	0
Airdrie	Burgers	10	114	5
Airdrie	Cafes	2	25	2
Airdrie	Canadian (New)	5	101	5
Airdrie	Candy Stores	1	3	1
Airdrie	Car Dealers	5	18	3
